clip_result_id,step_id,step_index,action_name,object_args,has_requires_installed,has_produces_removed,produced_constraint_count,has_rule_coverage,warning_code,notes
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_19,19,remove,"[""rear_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_22,22,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_24,24,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_1_5::event_0,0,remove,"[""base""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_1_5::event_1,1,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_1_5::event_2,2,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_1_5::event_3,3,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_1_5::event_10,10,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_1_5::event_12,12,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_1_5::event_17,17,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::18_assy_0_1::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::18_assy_0_1::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::18_assy_0_1::event_13,13,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::18_assy_0_1::event_14,14,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::18_assy_0_1::event_15,15,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_2_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::18_assy_2_5::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_2_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::18_assy_2_5::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_2_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::18_assy_2_5::event_16,16,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::19_assy_0_1::event_6,6,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_3_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::19_assy_3_5::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_3_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::19_assy_3_5::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_3_5,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::19_assy_3_5::event_13,13,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::23_assy_0_1::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::23_assy_0_1::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_1_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::23_assy_1_2::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_1_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::23_assy_1_2::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_1_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::23_assy_1_2::event_11,11,remove,"[""rear_chassis""]",True,True,2,True,,
